component_id,lot_id,wafer_id,wafer_x,wafer_y,hour,t_ambient_c,t_die_c,iddq_ua,v_cc_v,v_offset_mv,snr_db,instrument_id,failure_class,is_sensor_fault
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,0,25.0,24.97,1.28,3.96,4.83,44.7,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,1,96.35,96.51,3.079,3.96,4.98,43.38,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,2,116.79,116.72,3.91,3.96,5.03,42.97,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,3,122.65,122.51,4.286,3.96,5.06,42.79,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,4,124.33,124.31,4.334,3.96,5.01,42.9,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,5,124.81,124.81,4.368,3.96,5.19,42.82,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,6,124.94,124.85,4.367,3.96,5.14,42.81,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,7,124.98,125.1,4.344,3.96,5.05,42.72,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,8,125.0,124.86,4.389,3.96,5.07,42.57,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,9,125.0,125.03,4.395,3.96,4.98,42.84,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,10,125.0,125.18,4.379,3.96,5.01,42.93,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,11,125.0,125.11,4.404,3.96,4.95,43.08,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,12,125.0,125.14,4.383,3.96,5.08,42.9,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,13,125.0,125.13,4.374,3.96,5.11,42.81,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,14,125.0,125.05,4.345,3.96,5.24,42.86,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,15,125.0,125.1,4.412,3.96,5.1,42.92,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,16,125.0,125.01,4.372,3.96,5.11,42.89,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,17,125.0,124.7,4.375,3.96,5.11,42.77,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,18,125.0,125.02,4.356,3.96,5.05,42.97,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,19,125.0,124.75,4.348,3.96,5.2,43.09,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,20,125.0,124.84,4.386,3.96,5.03,42.94,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,21,125.0,124.99,4.406,3.96,5.01,42.66,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,22,125.0,125.1,4.38,3.96,5.09,42.91,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,23,125.0,124.86,4.42,3.96,5.2,42.78,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,24,125.0,124.77,4.367,3.96,5.03,42.88,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,25,125.0,124.88,4.408,3.96,5.1,42.83,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,26,125.0,124.83,4.351,3.96,5.15,42.98,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,27,125.0,125.01,4.438,3.96,5.17,43.02,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,28,125.0,124.84,4.399,3.96,5.09,42.68,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,29,125.0,125.02,4.42,3.96,5.0,43.07,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,30,125.0,125.12,4.424,3.96,4.99,43.11,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,31,125.0,125.03,4.401,3.96,4.95,42.74,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,32,125.0,125.0,4.398,3.96,5.16,43.01,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,33,125.0,125.14,4.418,3.96,5.15,42.83,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,34,125.0,125.04,4.412,3.96,5.14,43.18,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,35,125.0,125.06,4.425,3.96,5.17,43.08,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,36,125.0,125.05,4.34,3.96,5.32,42.79,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,37,125.0,124.73,4.409,3.96,5.19,43.1,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,38,125.0,124.92,4.413,3.96,5.08,43.04,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,39,125.0,125.16,4.412,3.96,5.12,43.05,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,40,125.0,124.9,4.407,3.96,5.03,43.17,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,41,125.0,125.07,4.407,3.96,5.01,42.9,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,42,125.0,124.94,4.449,3.96,5.11,42.85,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,43,125.0,125.01,4.411,3.96,5.0,42.85,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,44,125.0,124.83,4.392,3.96,5.1,42.74,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,45,125.0,124.89,4.372,3.96,5.14,43.03,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,46,125.0,125.0,4.456,3.96,5.08,42.97,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,47,125.0,125.02,4.435,3.96,5.03,42.97,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,48,125.0,124.86,4.369,3.96,5.1,42.91,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,49,125.0,124.82,4.435,3.96,5.08,43.03,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,50,125.0,125.07,4.444,3.96,5.22,42.71,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,51,125.0,125.07,4.393,3.96,5.14,42.77,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,52,125.0,125.07,4.425,3.96,4.99,42.62,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,53,125.0,125.15,4.425,3.96,5.12,42.84,ASQD-ATE-SIM-01,0,0
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,54,125.0,125.11,4.419,3.96,5.06,43.1,ASQD-ATE-SIM-01,0,0
