component_id,lot_id,wafer_id,wafer_x,wafer_y,hour,t_ambient_c,t_die_c,iddq_ua,v_cc_v,v_offset_mv,snr_db,instrument_id,failure_class,is_sensor_fault
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,0,25.0,24.99,1.259,3.96,5.09,44.33,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,1,96.35,96.41,2.996,3.96,5.27,42.86,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,2,116.79,116.85,3.711,3.96,5.19,42.68,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,3,122.65,122.67,4.038,3.96,5.37,42.22,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,4,124.33,124.45,4.117,3.96,5.23,42.39,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,5,124.81,124.9,4.091,3.96,5.24,42.34,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,6,124.94,124.76,4.137,3.96,5.18,42.67,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,7,124.98,125.02,4.121,3.96,5.23,42.3,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,8,125.0,125.09,4.115,3.96,5.34,42.1,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,9,125.0,125.03,4.108,3.96,5.17,42.4,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,10,125.0,125.06,4.198,3.96,5.35,42.41,ASQD-ATE-SIM-01,0,0
LOT_09_COMP_0000,LOT_09,LOT_09_W00,0.3426,-0.6002,11,125.0,125.03,4.158,3.96,5.14,42.34,ASQD-ATE-SIM-01,0,0
