lot_id,component_id,payload_type,device_spec_id,operating_voltage_v,test_temperature_c,clock_freq_mhz,wafer_x,wafer_y,iddq_0h,iddq_24h,iddq_96h,iddq_168h_actual,spec_min_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt
LOT_2026_03,LOT_2026_03_COMP_0000,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.3365,-0.0424,278.94,293.77,296.9,298.36,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0001,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.5834,0.5184,312.41,324.05,327.18,328.63,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0002,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.218,-0.2931,256.34,264.32,267.45,268.91,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0003,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.4786,0.1074,286.85,293.73,296.85,298.31,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0004,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.5405,0.1872,287.38,302.97,306.1,307.55,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0005,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.2444,-0.8941,291.6,301.5,304.63,306.09,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0006,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.8147,-0.0477,275.98,284.41,287.53,288.99,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0007,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.1918,-0.7102,296.9,307.27,310.4,311.85,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0008,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.1434,-0.092,256.43,267.34,270.47,271.93,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0009,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.3556,-0.7793,290.38,303.68,306.81,308.26,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0010,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.2382,0.5816,246.21,259.65,262.78,264.24,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0011,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.007,0.8955,272.08,286.67,289.8,291.26,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0012,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.4898,-0.1203,270.1,287.05,290.18,291.64,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0013,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.237,0.0267,297.96,307.54,310.67,312.13,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0014,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.9265,-0.0911,282.67,290.56,293.69,295.15,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0015,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.4675,0.0496,262.97,271.49,274.61,276.07,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0016,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.4836,-0.4137,281.08,296.28,299.41,300.87,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0017,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.2903,-0.4815,307.15,316.93,320.05,321.51,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0018,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.1259,0.2466,319.66,332.86,335.99,337.45,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0019,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.9153,0.0736,304.65,318.19,321.32,322.77,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0020,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.4321,-0.8138,269.28,288.82,291.94,293.4,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0021,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.6085,-0.7754,270.44,272.2,275.33,276.79,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0022,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.6208,0.0013,282.75,303.95,307.08,308.54,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0023,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.7685,-0.6032,257.38,267.52,270.64,272.1,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0024,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.6625,0.0832,294.46,320.2,323.32,324.78,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0025,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.3761,0.7268,308.63,318.44,321.57,323.03,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0026,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.1849,0.2198,238.89,248.11,251.24,252.7,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0027,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.82,-0.4741,290.02,300.75,303.87,305.33,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0028,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.2272,0.4964,285.53,306.64,309.77,311.22,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0029,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.4663,-0.2118,305.46,315.83,318.96,320.42,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0030,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,0.0217,0.0683,292.67,300.46,303.59,305.05,180.0,450.0,0,HEALTHY
LOT_2026_03,LOT_2026_03_COMP_0031,EOS_08_EOIR,ISRO-SPEC-EOS08-IR-2024,12.0,25.0,50.0,-0.4203,0.6054,270.02,275.64,278.77,280.23,180.0,450.0,0,HEALTHY
