lot_id,component_id,payload_type,device_spec_id,operating_voltage_v,test_temperature_c,clock_freq_mhz,wafer_x,wafer_y,iddq_0h,iddq_24h,iddq_96h,iddq_168h_actual,spec_min_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt
LOT_2026_05,LOT_2026_05_COMP_0000,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.936,0.336,149.31,157.61,159.18,159.91,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0001,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.6982,-0.2491,129.58,135.11,136.67,137.4,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0002,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.086,0.5235,161.49,170.18,171.75,172.48,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0003,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.2483,-0.125,144.72,153.35,154.92,155.65,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0004,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.151,0.6494,163.44,174.27,175.84,176.57,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0005,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.2503,0.6405,152.27,157.68,159.24,159.97,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0006,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.1803,0.1266,148.51,153.15,154.71,155.44,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0007,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.1338,-0.3813,122.07,129.38,130.94,131.67,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0008,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.1048,-0.324,159.3,170.02,171.58,172.31,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0009,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.6962,0.3778,167.53,175.18,176.75,177.47,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0010,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.397,-0.8358,149.5,158.01,159.58,160.3,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0011,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.7578,0.2753,136.92,147.46,149.03,149.75,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0012,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.1627,0.982,155.89,161.39,162.95,163.68,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0013,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.4125,-0.5479,125.34,133.01,134.57,135.3,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0014,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.1606,0.7698,134.6,147.63,149.2,149.93,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0015,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.0503,-0.5293,142.38,153.49,155.05,155.78,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0016,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.8638,-0.4795,149.68,156.26,157.82,158.55,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0017,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,0.4021,0.7151,150.46,158.14,159.7,160.43,80.0,220.0,0,HEALTHY
LOT_2026_05,LOT_2026_05_COMP_0018,ADITYA_L1_PAPA,ISRO-SPEC-ADITYA-PAPA-2023,28.0,40.0,10.0,-0.2639,-0.609,140.44,146.61,148.17,148.9,80.0,220.0,0,HEALTHY
