lot_id,component_id,payload_type,device_spec_id,operating_voltage_v,test_temperature_c,clock_freq_mhz,wafer_x,wafer_y,iddq_0h,iddq_24h,iddq_96h,iddq_168h_actual,spec_min_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt
LOT_2026_02,LOT_2026_02_COMP_0000,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.2426,0.5619,43.19,45.11,45.61,45.84,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0001,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.9414,-0.2537,45.45,49.05,49.55,49.79,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0002,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.5971,-0.6127,46.82,49.61,50.11,50.34,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0003,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.0862,-0.7689,48.48,50.53,51.03,51.27,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0004,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.1374,-0.3703,48.85,50.56,51.06,51.29,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0005,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.2142,-0.3318,42.67,44.54,45.04,45.27,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0006,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.0855,-0.2253,50.58,53.14,53.65,53.88,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0007,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.5432,-0.7557,47.14,49.39,49.89,50.12,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0008,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.0016,0.7753,47.09,48.73,49.23,49.46,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0009,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.8396,0.0559,44.86,46.88,47.39,47.62,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0010,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.0258,0.1411,36.35,38.59,39.09,39.33,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0011,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.9819,-0.0762,51.67,51.93,52.44,52.67,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0012,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.8566,-0.3141,50.65,53.24,53.74,53.97,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0013,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.4467,0.113,44.75,46.04,46.55,46.78,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0014,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,-0.1175,-0.4099,45.9,47.03,47.53,47.77,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0015,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.3819,-0.1938,47.52,48.17,48.68,48.91,25.0,95.0,0,HEALTHY
LOT_2026_02,LOT_2026_02_COMP_0016,ASTROSAT_LAXPC_CZTI,ISRO-SPEC-ASTROSAT-XRAY-2015,5.0,35.0,20.0,0.233,0.4999,40.47,41.03,41.53,41.77,25.0,95.0,0,HEALTHY
