lot_id,component_id,hour,t_ambient_c,iddq_ua,v_offset_mv,snr_db,t_die_c,v_cc_v,category_label
LOT_2026_01,LOT_2026_01_COMP_0000,0,25.0,1.154,4.975,45.05,25.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,1,96.35,2.702,5.118,43.66,96.35,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,2,116.79,3.502,5.191,43.47,116.79,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,3,122.65,3.71,5.136,43.17,122.65,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,4,124.33,3.823,5.221,43.27,124.33,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,5,124.81,3.828,5.118,43.24,124.81,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,6,124.94,3.81,5.163,43.08,124.95,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,7,124.98,3.85,5.129,43.13,124.98,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,8,125.0,3.822,5.119,43.23,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,9,125.0,3.861,5.163,43.31,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,10,125.0,3.892,5.121,43.15,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,11,125.0,3.814,5.196,43.3,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,12,125.0,3.826,5.168,43.29,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,13,125.0,3.849,5.179,43.19,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,14,125.0,3.821,5.189,43.3,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,15,125.0,3.861,5.089,43.09,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,16,125.0,3.825,5.175,43.3,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,17,125.0,3.857,5.184,43.08,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,18,125.0,3.852,5.068,43.09,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,19,125.0,3.868,5.125,43.29,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,20,125.0,3.862,5.273,43.18,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,21,125.0,3.824,5.135,43.07,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,22,125.0,3.873,5.139,43.16,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,23,125.0,3.852,5.174,43.12,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,24,125.0,3.871,5.189,43.14,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,25,125.0,3.838,5.111,43.24,125.0,3.96,0
LOT_2026_01,LOT_2026_01_COMP_0000,26,125.0,3.859,5.168,43.35,125.0,3.96,0
