component_id,lot_id,wafer_id,wafer_x,wafer_y,device_family,device_spec_id,operating_voltage_v,test_temperature_c,observation_horizon_h,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,v_offset_168h,snr_0h,snr_24h,snr_168h,t_die_0h,t_die_24h,delta_iddq,delta_v_offset,delta_snr,spec_max_iddq,is_defective_gt,failure_class,failure_mode_gt,is_sensor_fault
LOT_02_COMP_0000,LOT_02,LOT_02_W00,0.0144,-0.126,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.2,4.081,4.201,5.21,5.39,5.48,45.17,43.01,42.96,24.88,124.87,2.881,0.18,-2.16,15.0,0,0,NOMINAL,0
LOT_02_COMP_0001,LOT_02,LOT_02_W00,-0.6698,0.9764,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.091,3.706,3.892,5.22,5.46,5.33,44.53,42.76,42.61,24.98,125.11,2.615,0.24,-1.77,15.0,0,0,NOMINAL,0
LOT_02_COMP_0002,LOT_02,LOT_02_W00,0.6238,0.828,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.264,4.188,4.345,4.75,5.14,4.98,44.76,42.79,42.74,24.87,125.04,2.924,0.39,-1.97,15.0,0,0,NOMINAL,0
LOT_02_COMP_0003,LOT_02,LOT_02_W00,0.2219,0.6796,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.313,4.244,8667.574,4.66,5.18,5.3,45.29,45.46,39.42,24.91,124.9,2.931,0.52,0.17,15.0,1,1,THERMAL_RUNAWAY,0
LOT_02_COMP_0004,LOT_02,LOT_02_W00,0.5813,0.1089,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,4.105,3.478,3.685,4.58,4.56,4.54,45.05,45.07,44.9,25.01,124.99,-0.627,-0.02,0.02,15.0,1,4,INTERMITTENT_FAULT,0
LOT_02_COMP_0005,LOT_02,LOT_02_W00,-0.2196,0.6549,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.081,3.674,3.798,4.88,5.1,5.24,45.37,43.23,43.05,25.06,124.87,2.593,0.22,-2.14,15.0,0,0,NOMINAL,0
LOT_02_COMP_0006,LOT_02,LOT_02_W00,0.7461,0.2192,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.22,4.005,4.147,5.56,5.49,5.63,45.57,43.38,43.15,25.16,125.0,2.785,-0.07,-2.19,15.0,0,0,NOMINAL,0
LOT_02_COMP_0007,LOT_02,LOT_02_W00,-0.1441,0.7422,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.206,3.96,4.076,5.06,5.22,5.26,44.61,42.67,42.63,25.02,125.0,2.754,0.16,-1.94,15.0,0,0,NOMINAL,0
LOT_02_COMP_0008,LOT_02,LOT_02_W00,0.8102,-0.3724,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.186,3.986,4.148,4.88,5.0,5.07,45.2,43.51,43.35,25.17,125.02,2.8,0.12,-1.69,15.0,0,0,NOMINAL,0
LOT_02_COMP_0009,LOT_02,LOT_02_W00,-0.1755,-0.9819,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.146,3.742,3.909,5.12,5.32,5.15,45.0,43.07,43.07,24.98,124.98,2.596,0.2,-1.93,15.0,0,0,NOMINAL,0
LOT_02_COMP_0010,LOT_02,LOT_02_W00,0.9599,0.6965,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.261,4.255,4.364,4.66,4.79,4.73,44.26,44.32,44.28,24.94,125.02,2.994,0.13,0.06,15.0,1,4,INTERMITTENT_FAULT,0
LOT_02_COMP_0011,LOT_02,LOT_02_W00,-0.4109,0.8072,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.256,4.223,4.335,4.89,5.23,5.16,45.46,43.5,43.97,25.16,124.85,2.967,0.34,-1.96,15.0,0,0,NOMINAL,0
LOT_02_COMP_0012,LOT_02,LOT_02_W00,-0.7282,0.477,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.237,4.018,4.162,5.08,5.22,5.34,44.9,43.0,42.93,25.06,125.03,2.781,0.14,-1.9,15.0,0,0,NOMINAL,0
LOT_02_COMP_0013,LOT_02,LOT_02_W00,0.0804,-0.8437,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.309,4.286,4.415,4.91,5.05,5.11,44.14,42.02,42.33,25.18,125.07,2.977,0.14,-2.12,15.0,0,0,NOMINAL,0
LOT_02_COMP_0014,LOT_02,LOT_02_W00,0.2703,0.3603,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.237,4.096,4.317,5.06,5.23,5.4,44.33,42.75,42.61,25.0,125.02,2.859,0.17,-1.58,15.0,0,0,NOMINAL,0
LOT_02_COMP_0015,LOT_02,LOT_02_W00,-0.1965,-0.5144,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.115,3.81,3.869,5.08,5.27,5.22,44.22,42.41,42.46,25.09,124.94,2.695,0.19,-1.81,15.0,0,0,NOMINAL,0
LOT_02_COMP_0016,LOT_02,LOT_02_W00,0.466,-0.2317,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.657,5.466,5.747,5.05,5.15,5.05,43.64,43.36,43.87,25.05,124.98,3.809,0.1,-0.28,15.0,1,3,FREAK_OUTLIER,0
LOT_02_COMP_0017,LOT_02,LOT_02_W00,-0.8621,-0.6582,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.11,3.779,3.907,4.94,5.2,5.14,44.95,42.82,42.79,25.05,125.0,2.669,0.26,-2.13,15.0,0,0,NOMINAL,0
LOT_02_COMP_0018,LOT_02,LOT_02_W00,-0.2658,-0.1298,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.286,4.184,4.406,5.15,5.3,5.33,44.65,42.92,42.94,25.22,125.14,2.898,0.15,-1.73,15.0,0,0,NOMINAL,0
LOT_02_COMP_0019,LOT_02,LOT_02_W00,0.5096,-0.7517,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.22,3.966,4.127,5.12,5.45,5.5,45.11,43.38,43.37,25.11,125.06,2.746,0.33,-1.73,15.0,0,0,NOMINAL,0
