component_id,lot_id,wafer_id,wafer_x,wafer_y,device_family,device_spec_id,operating_voltage_v,test_temperature_c,observation_horizon_h,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,v_offset_168h,snr_0h,snr_24h,snr_168h,t_die_0h,t_die_24h,delta_iddq,delta_v_offset,delta_snr,spec_max_iddq,is_defective_gt,failure_class,failure_mode_gt,is_sensor_fault
LOT_07_COMP_0000,LOT_07,LOT_07_W00,0.2411,-0.1823,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.143,3.8,3.994,5.13,5.3,5.33,45.4,43.53,43.56,25.14,124.97,2.657,0.17,-1.87,15.0,0,0,NOMINAL,0
LOT_07_COMP_0001,LOT_07,LOT_07_W00,-0.6061,0.6353,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.206,4.096,4.209,4.74,4.94,4.87,45.68,43.6,43.72,25.02,124.86,2.89,0.2,-2.08,15.0,0,0,NOMINAL,0
LOT_07_COMP_0002,LOT_07,LOT_07_W00,0.9727,0.1812,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.061,3.477,3.605,5.07,5.32,5.42,44.48,42.6,42.75,24.93,125.0,2.416,0.25,-1.88,15.0,0,0,NOMINAL,0
LOT_07_COMP_0003,LOT_07,LOT_07_W00,0.7489,0.4515,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.054,3.515,3.679,5.12,5.33,5.31,44.72,42.87,42.97,25.01,125.1,2.461,0.21,-1.85,15.0,0,0,NOMINAL,0
LOT_07_COMP_0004,LOT_07,LOT_07_W00,0.2804,-0.7135,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.097,3.665,3.785,5.09,5.03,5.07,43.52,41.59,41.81,25.06,125.04,2.568,-0.06,-1.93,15.0,0,0,NOMINAL,0
LOT_07_COMP_0005,LOT_07,LOT_07_W00,0.0589,0.3566,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.126,3.837,3.993,5.2,5.35,5.3,45.01,43.13,42.76,25.07,125.07,2.711,0.15,-1.88,15.0,0,0,NOMINAL,0
LOT_07_COMP_0006,LOT_07,LOT_07_W00,-0.2612,0.9861,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.137,3.812,3.944,4.82,5.08,5.16,44.12,42.15,42.22,25.13,124.99,2.675,0.26,-1.97,15.0,0,0,NOMINAL,0
LOT_07_COMP_0007,LOT_07,LOT_07_W00,0.9123,-0.4666,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.17,3.89,3.995,5.06,5.24,5.27,44.81,42.69,42.77,24.94,125.19,2.72,0.18,-2.12,15.0,0,0,NOMINAL,0
LOT_07_COMP_0008,LOT_07,LOT_07_W00,-0.0214,-0.1343,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.183,4.009,4.099,4.91,5.28,5.19,44.6,42.46,42.37,24.93,125.05,2.826,0.37,-2.14,15.0,0,0,NOMINAL,0
LOT_07_COMP_0009,LOT_07,LOT_07_W00,0.4666,-0.1507,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.083,3.773,3.939,5.12,5.38,5.34,44.51,42.89,42.69,25.02,125.14,2.69,0.26,-1.62,15.0,0,0,NOMINAL,0
LOT_07_COMP_0010,LOT_07,LOT_07_W00,0.9358,0.6971,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.194,3.998,4.022,4.63,4.75,4.83,44.78,44.59,44.95,25.08,124.96,2.804,0.12,-0.19,15.0,1,5,SENSOR_FAULT,1
LOT_07_COMP_0011,LOT_07,LOT_07_W00,-0.3128,0.4214,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.239,4.138,4.268,5.04,5.2,5.15,44.53,42.6,42.64,24.84,125.14,2.899,0.16,-1.93,15.0,0,0,NOMINAL,0
LOT_07_COMP_0012,LOT_07,LOT_07_W00,0.7906,-0.4415,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.247,4.113,4.211,4.94,5.01,5.18,44.84,43.14,43.07,24.92,124.95,2.866,0.07,-1.7,15.0,0,0,NOMINAL,0
LOT_07_COMP_0013,LOT_07,LOT_07_W00,0.6048,-0.4528,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.263,4.304,4.396,4.79,5.01,5.12,45.26,43.36,43.35,25.1,125.05,3.041,0.22,-1.9,15.0,0,0,NOMINAL,0
LOT_07_COMP_0014,LOT_07,LOT_07_W00,0.1175,0.5686,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.327,4.55,4.67,4.74,5.04,4.98,44.61,42.77,42.68,24.97,124.96,3.223,0.3,-1.84,15.0,0,0,NOMINAL,0
LOT_07_COMP_0015,LOT_07,LOT_07_W00,-0.2995,0.7606,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.149,3.843,3.962,4.94,5.27,5.29,45.44,43.54,43.3,24.98,124.97,2.694,0.33,-1.9,15.0,0,0,NOMINAL,0
LOT_07_COMP_0016,LOT_07,LOT_07_W00,0.6666,0.5625,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.344,4.458,4.58,4.86,4.92,5.01,44.05,42.03,42.13,24.96,125.02,3.114,0.06,-2.02,15.0,0,0,NOMINAL,0
LOT_07_COMP_0017,LOT_07,LOT_07_W00,0.4165,0.117,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.11,3.762,19284.252,5.1,5.54,5.62,44.46,44.38,37.61,24.89,124.99,2.652,0.44,-0.08,15.0,1,1,THERMAL_RUNAWAY,0
