component_id,lot_id,wafer_id,wafer_x,wafer_y,device_family,device_spec_id,operating_voltage_v,test_temperature_c,observation_horizon_h,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,v_offset_168h,snr_0h,snr_24h,snr_168h,t_die_0h,t_die_24h,delta_iddq,delta_v_offset,delta_snr,spec_max_iddq,is_defective_gt,failure_class,failure_mode_gt,is_sensor_fault
LOT_03_COMP_0000,LOT_03,LOT_03_W00,-0.9678,-0.5656,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.214,4.077,4.225,5.1,5.31,5.39,45.09,43.27,43.21,25.02,125.06,2.863,0.21,-1.82,15.0,0,0,NOMINAL,0
LOT_03_COMP_0001,LOT_03,LOT_03_W00,-0.1478,-0.9883,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.277,4.222,4.355,5.04,5.35,5.29,45.63,43.45,43.48,25.15,124.98,2.945,0.31,-2.18,15.0,0,0,NOMINAL,0
LOT_03_COMP_0002,LOT_03,LOT_03_W00,-0.8975,0.7633,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.174,3.901,3.978,5.16,5.46,5.34,45.04,42.95,42.82,25.22,124.89,2.727,0.3,-2.09,15.0,0,0,NOMINAL,0
LOT_03_COMP_0003,LOT_03,LOT_03_W00,-0.0206,0.7361,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.084,3.781,3.916,5.1,5.29,5.34,44.89,42.67,43.08,24.97,124.92,2.697,0.19,-2.22,15.0,0,0,NOMINAL,0
LOT_03_COMP_0004,LOT_03,LOT_03_W00,-0.0612,0.7276,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.041,3.484,3.695,5.15,5.18,5.31,44.42,42.58,42.39,24.86,125.1,2.443,0.03,-1.84,15.0,0,0,NOMINAL,0
LOT_03_COMP_0005,LOT_03,LOT_03_W00,0.2604,0.4271,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.251,4.265,4.407,4.99,5.1,5.24,44.55,42.72,42.88,24.99,124.84,3.014,0.11,-1.83,15.0,0,0,NOMINAL,0
LOT_03_COMP_0006,LOT_03,LOT_03_W00,0.7384,0.6433,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.213,4.058,4.185,4.67,4.96,4.93,44.55,42.6,42.74,24.98,125.06,2.845,0.29,-1.95,15.0,0,0,NOMINAL,0
LOT_03_COMP_0007,LOT_03,LOT_03_W00,-0.331,-0.8424,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.22,4.04,4.212,4.94,4.99,4.96,45.43,43.33,43.75,24.77,124.96,2.82,0.05,-2.1,15.0,0,0,NOMINAL,0
LOT_03_COMP_0008,LOT_03,LOT_03_W00,-0.5165,-0.3024,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.096,3.777,3.94,5.17,5.27,5.29,44.98,42.92,42.6,25.1,125.08,2.681,0.1,-2.06,15.0,0,0,NOMINAL,0
LOT_03_COMP_0009,LOT_03,LOT_03_W00,0.9872,0.7556,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.265,4.345,4.485,4.91,5.14,5.2,44.86,42.87,43.08,24.82,124.91,3.08,0.23,-1.99,15.0,0,0,NOMINAL,0
LOT_03_COMP_0010,LOT_03,LOT_03_W00,0.1268,0.9285,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.268,4.281,4.418,5.0,5.15,5.13,45.7,43.55,43.78,24.97,125.13,3.013,0.15,-2.15,15.0,0,0,NOMINAL,0
LOT_03_COMP_0011,LOT_03,LOT_03_W00,-0.1683,0.4752,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.228,3.964,4.11,4.83,4.9,4.92,45.14,43.01,42.99,25.19,124.93,2.736,0.07,-2.13,15.0,0,0,NOMINAL,0
LOT_03_COMP_0012,LOT_03,LOT_03_W00,-0.6284,0.3282,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.155,3.865,4.002,5.07,5.12,5.21,45.11,43.43,43.22,24.83,125.0,2.71,0.05,-1.68,15.0,0,0,NOMINAL,0
LOT_03_COMP_0013,LOT_03,LOT_03_W00,-0.6713,-0.0125,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.163,3.914,4.055,4.92,5.19,5.12,44.92,42.89,42.78,24.92,124.94,2.751,0.27,-2.03,15.0,0,0,NOMINAL,0
LOT_03_COMP_0014,LOT_03,LOT_03_W00,0.6483,-0.5712,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.105,3.838,3.909,5.01,5.27,5.25,45.39,43.15,43.2,25.03,125.1,2.733,0.26,-2.24,15.0,0,0,NOMINAL,0
LOT_03_COMP_0015,LOT_03,LOT_03_W00,0.6583,0.0571,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.181,4.004,31162.87,5.09,5.51,5.63,45.0,44.94,37.87,24.8,124.97,2.823,0.42,-0.06,15.0,1,1,THERMAL_RUNAWAY,0
LOT_03_COMP_0016,LOT_03,LOT_03_W00,0.7058,-0.1646,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.179,3.852,3.925,4.71,4.97,5.03,45.65,43.59,43.6,25.02,125.14,2.673,0.26,-2.06,15.0,0,0,NOMINAL,0
LOT_03_COMP_0017,LOT_03,LOT_03_W00,0.8441,0.7846,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.269,4.167,4.365,5.12,5.48,5.38,45.26,43.28,43.16,25.03,124.82,2.898,0.36,-1.98,15.0,0,0,NOMINAL,0
LOT_03_COMP_0018,LOT_03,LOT_03_W00,0.5139,0.203,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.217,3.826,4.042,4.7,4.97,5.07,44.52,42.2,42.11,24.91,124.97,2.609,0.27,-2.32,15.0,0,0,NOMINAL,0
LOT_03_COMP_0019,LOT_03,LOT_03_W00,-0.0612,-0.0681,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.115,3.87,4.06,4.99,5.17,5.15,44.82,42.69,42.66,25.13,124.94,2.755,0.18,-2.13,15.0,0,0,NOMINAL,0
LOT_03_COMP_0020,LOT_03,LOT_03_W00,0.6606,0.0441,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.336,4.375,4.571,4.95,5.09,5.29,44.25,42.44,42.35,25.12,124.89,3.039,0.14,-1.81,15.0,0,0,NOMINAL,0
