component_id,lot_id,wafer_id,wafer_x,wafer_y,device_family,device_spec_id,operating_voltage_v,test_temperature_c,observation_horizon_h,iddq_0h,iddq_24h,iddq_168h_actual,v_offset_0h,v_offset_24h,v_offset_168h,snr_0h,snr_24h,snr_168h,t_die_0h,t_die_24h,delta_iddq,delta_v_offset,delta_snr,spec_max_iddq,is_defective_gt,failure_class,failure_mode_gt,is_sensor_fault
LOT_04_COMP_0000,LOT_04,LOT_04_W00,-0.3301,0.0734,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.28,4.367,4.567,4.83,5.03,5.16,44.7,42.88,43.05,24.97,124.77,3.087,0.2,-1.82,15.0,0,0,NOMINAL,0
LOT_04_COMP_0001,LOT_04,LOT_04_W00,-0.4925,-0.5535,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.19,4.062,4.16,5.16,5.39,5.3,44.81,42.84,42.87,24.93,124.82,2.872,0.23,-1.97,15.0,0,0,NOMINAL,0
LOT_04_COMP_0002,LOT_04,LOT_04_W00,-0.4381,0.152,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.276,4.13,4.256,4.93,4.98,4.97,45.55,43.59,43.64,25.03,125.13,2.854,0.05,-1.96,15.0,0,0,NOMINAL,0
LOT_04_COMP_0003,LOT_04,LOT_04_W00,-0.8141,0.289,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.299,4.336,4.463,4.8,5.08,5.06,46.21,44.18,44.03,25.04,124.92,3.037,0.28,-2.03,15.0,0,0,NOMINAL,0
LOT_04_COMP_0004,LOT_04,LOT_04_W00,0.5282,0.15,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.216,4.214,4.368,5.15,5.15,5.32,46.06,43.87,43.76,24.99,124.94,2.998,0.0,-2.19,15.0,0,0,NOMINAL,0
LOT_04_COMP_0005,LOT_04,LOT_04_W00,0.1429,0.4323,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.221,4.181,4.298,4.96,5.07,5.24,43.98,41.98,42.11,25.11,125.19,2.96,0.11,-2.0,15.0,0,0,NOMINAL,0
LOT_04_COMP_0006,LOT_04,LOT_04_W00,-0.7135,0.5977,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.115,3.941,4.084,4.95,4.93,5.01,45.02,43.18,43.0,24.97,124.9,2.826,-0.02,-1.84,15.0,0,0,NOMINAL,0
LOT_04_COMP_0007,LOT_04,LOT_04_W00,0.9312,-0.4305,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.126,3.717,3.88,5.16,5.26,5.19,44.52,42.36,42.38,25.04,125.04,2.591,0.1,-2.16,15.0,0,0,NOMINAL,0
LOT_04_COMP_0008,LOT_04,LOT_04_W00,0.9612,0.8383,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.236,4.089,4.272,5.11,5.38,5.36,44.91,43.36,43.16,24.8,125.11,2.853,0.27,-1.55,15.0,0,0,NOMINAL,0
LOT_04_COMP_0009,LOT_04,LOT_04_W00,0.2714,-0.1573,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.192,3.849,4.052,5.03,5.29,5.13,45.0,42.85,42.89,25.2,124.88,2.657,0.26,-2.15,15.0,0,0,NOMINAL,0
LOT_04_COMP_0010,LOT_04,LOT_04_W00,-0.4487,-0.8491,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.233,4.265,4.373,5.18,5.21,5.34,44.18,42.21,42.15,25.11,125.03,3.032,0.03,-1.97,15.0,0,0,NOMINAL,0
LOT_04_COMP_0011,LOT_04,LOT_04_W00,0.7164,0.7516,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.215,4.061,4.221,4.87,5.14,5.18,44.68,42.62,42.6,25.13,125.11,2.846,0.27,-2.06,15.0,0,0,NOMINAL,0
LOT_04_COMP_0012,LOT_04,LOT_04_W00,0.5678,0.2014,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.138,3.791,3.989,5.11,4.97,5.02,45.74,43.58,43.46,25.1,125.06,2.653,-0.14,-2.16,15.0,0,0,NOMINAL,0
LOT_04_COMP_0013,LOT_04,LOT_04_W00,-0.3262,0.4829,SPACE_MEMS_SENSOR,ASQD-MEMS-SENS-2026,3.96,125.0,168,1.215,4.046,4.241,5.22,5.27,5.35,45.14,42.95,42.9,24.87,124.8,2.831,0.05,-2.19,15.0,0,0,NOMINAL,0
