component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
PRE_LOT02_COMP0000,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.6609,5860.7629,5861.3832,5861.7854,5847.102,0.0358,-0.0901,33.98,33.93,13.6609,5860.7629,5861.3832,5861.7854,5847.102,100.0,False,NOMINAL,HEALTHY,28.27,-26.44
PRE_LOT02_COMP0001,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.3127,5712.3805,5713.0504,5713.5198,5699.0678,-0.0196,-0.0366,36.13,36.14,13.3127,5712.3805,5713.0504,5713.5198,5699.0678,100.0,False,NOMINAL,HEALTHY,4.31,22.0
PRE_LOT02_COMP0002,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,11.943,5123.3909,5123.9754,5124.4585,5111.4479,-0.0001,0.0084,37.42,37.05,11.943,5123.3909,5123.9754,5124.4585,5111.4479,100.0,False,NOMINAL,HEALTHY,31.26,34.02
PRE_LOT02_COMP0003,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.2997,6565.7377,6566.4977,6567.1217,6550.438,0.0171,0.0622,36.19,35.65,15.2997,6565.7377,6566.4977,6567.1217,6550.438,100.0,False,NOMINAL,HEALTHY,-32.55,-35.31
PRE_LOT02_COMP0004,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,14.268,6118.5893,6119.3774,6119.9568,6104.3213,0.0187,-0.076,35.89,35.42,14.268,6118.5893,6119.3774,6119.9568,6104.3213,100.0,False,NOMINAL,HEALTHY,1.62,-12.96
PRE_LOT02_COMP0005,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,12.6232,5403.7728,5404.3693,5404.8115,5391.1496,0.0109,-0.0045,36.11,36.12,12.6232,5403.7728,5404.3693,5404.8115,5391.1496,100.0,False,NOMINAL,HEALTHY,-43.53,39.71
PRE_LOT02_COMP0006,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,10.6991,4599.6606,4600.1795,4600.4756,4588.9615,0.0178,0.09,34.85,33.9,10.6991,4599.6606,4600.1795,4600.4756,4588.9615,100.0,False,NOMINAL,HEALTHY,9.56,5.98
PRE_LOT02_COMP0007,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.9972,6008.0086,6008.7212,6009.2898,5994.0114,-0.0066,0.0697,37.67,37.2,13.9972,6008.0086,6008.7212,6009.2898,5994.0114,100.0,False,NOMINAL,HEALTHY,-4.73,19.75
PRE_LOT02_COMP0008,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,11.1718,4797.0313,4797.5202,4797.8981,4785.8595,-0.0192,0.0319,36.18,35.2,11.1718,4797.0313,4797.5202,4797.8981,4785.8595,100.0,False,NOMINAL,HEALTHY,-35.94,8.74
PRE_LOT02_COMP0009,LOT_02,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T02_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.0904,5593.6194,5594.2896,5594.7917,5580.529,-0.0004,-0.0642,34.1,35.29,13.0904,5593.6194,5594.2896,5594.7917,5580.529,100.0,False,NOMINAL,HEALTHY,20.91,39.13
