component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,DSNU_DN,hot_pixel_count,supply_current_mA,dark_signal_mean_DN,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
IMA_LOT04_COMP0000,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.2974,18.3154,40.1369,77.148,4.018,13.89,2,42.72,7.8,-0.0222,-0.0948,61.08,62.27,14.2974,18.3154,40.1369,77.148,4.018,10.0,False,NOMINAL,HEALTHY,0.94,2.15
IMA_LOT04_COMP0001,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,15.1043,22.9217,77.9144,249.3336,7.8174,11.7,6,42.2,8.74,-0.0114,0.0373,60.41,61.92,15.1043,22.9217,77.9144,249.3336,7.8174,10.0,False,NOMINAL,HEALTHY,-25.22,-7.88
IMA_LOT04_COMP0002,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.7944,18.6956,34.1959,70.4238,3.9012,11.85,6,41.67,8.82,-0.0213,0.0008,64.66,61.81,14.7944,18.6956,34.1959,70.4238,3.9012,10.0,False,NOMINAL,HEALTHY,19.66,-10.22
IMA_LOT04_COMP0003,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.8295,21.4534,70.5432,242.9267,7.6239,12.35,4,39.43,8.08,0.0106,-0.0518,59.14,62.49,13.8295,21.4534,70.5432,242.9267,7.6239,10.0,False,NOMINAL,HEALTHY,21.5,-28.1
IMA_LOT04_COMP0004,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.4669,20.8501,63.4967,190.1737,6.3832,9.37,6,41.97,8.13,0.0019,0.0407,64.28,61.71,14.4669,20.8501,63.4967,190.1737,6.3832,10.0,False,NOMINAL,HEALTHY,0.54,-21.5
IMA_LOT04_COMP0005,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.2263,17.2453,34.0414,68.8727,3.019,9.17,7,41.9,6.24,0.0348,0.0153,61.8,62.02,14.2263,17.2453,34.0414,68.8727,3.019,10.0,False,NOMINAL,HEALTHY,46.02,-49.13
IMA_LOT04_COMP0006,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.3126,22.6569,76.673,274.8891,8.3443,14.08,4,40.97,6.78,0.0144,0.0116,60.35,62.59,14.3126,22.6569,76.673,274.8891,8.3443,10.0,False,NOMINAL,HEALTHY,33.82,1.83
IMA_LOT04_COMP0007,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.845,17.3133,35.0749,62.7686,3.4683,13.5,5,42.16,6.59,0.0062,0.0331,65.36,61.18,13.845,17.3133,35.0749,62.7686,3.4683,10.0,False,NOMINAL,HEALTHY,23.15,-49.49
IMA_LOT04_COMP0008,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,15.0754,19.7992,48.4617,119.179,4.7238,11.38,5,40.08,8.71,-0.0281,-0.027,62.01,62.52,15.0754,19.7992,48.4617,119.179,4.7238,10.0,False,NOMINAL,HEALTHY,-40.36,24.65
IMA_LOT04_COMP0009,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.2674,17.8336,31.7672,64.0756,3.5662,9.67,1,39.23,9.73,-0.0116,-0.0149,61.29,62.1,14.2674,17.8336,31.7672,64.0756,3.5662,10.0,False,NOMINAL,HEALTHY,9.85,-23.05
IMA_LOT04_COMP0010,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.423,19.6173,55.7101,158.0369,5.1943,13.79,2,40.97,8.63,-0.0262,0.0011,62.07,61.63,14.423,19.6173,55.7101,158.0369,5.1943,10.0,False,NOMINAL,HEALTHY,-36.48,5.44
IMA_LOT04_COMP0011,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.9478,18.6882,53.4998,187.5787,3.7404,13.19,7,43.57,8.61,-0.0178,-0.1443,61.68,62.73,14.9478,18.6882,53.4998,187.5787,3.7404,10.0,True,DARK_CURRENT_SPIKE_GROWTH,HEALTHY,-22.44,5.71
IMA_LOT04_COMP0012,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.7617,19.4367,55.9476,175.8789,5.675,14.36,2,40.44,10.35,-0.0579,-0.1126,62.75,61.04,13.7617,19.4367,55.9476,175.8789,5.675,10.0,False,NOMINAL,HEALTHY,-24.12,48.02
IMA_LOT04_COMP0013,LOT_04,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T04_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.5539,19.0876,57.6096,155.8135,5.5337,8.32,5,41.0,6.3,-0.0052,-0.0259,64.13,62.17,13.5539,19.0876,57.6096,155.8135,5.5337,10.0,False,NOMINAL,HEALTHY,-8.85,-16.75
