component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,ICC_active_mA,input_leakage_nA,propagation_delay_ns,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
DIG_LOT09_COMP0000,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.4473,1112.2952,1112.3562,1112.3929,1110.8479,25.919,2.1357,13.859,0.009,-0.058,37.45,37.62,1.4473,1112.2952,1112.3562,1112.3929,1110.8479,50.0,False,NOMINAL,HEALTHY,27.32,44.03
DIG_LOT09_COMP0001,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3684,1054.2471,1054.3461,1054.3305,1052.8787,28.294,1.8105,10.748,0.0068,-0.0544,34.9,34.98,1.3684,1054.2471,1054.3461,1054.3305,1052.8787,50.0,False,NOMINAL,HEALTHY,15.76,-48.41
DIG_LOT09_COMP0002,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3206,1013.0181,1013.0951,1013.1317,1011.6975,24.585,2.3301,12.726,0.0112,0.0305,34.42,35.01,1.3206,1013.0181,1013.0951,1013.1317,1011.6975,50.0,False,NOMINAL,HEALTHY,42.04,32.87
DIG_LOT09_COMP0003,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3169,1027.9308,1028.0197,1028.0537,1026.6139,26.408,2.301,11.675,0.0021,0.0502,35.46,35.91,1.3169,1027.9308,1028.0197,1028.0537,1026.6139,50.0,False,NOMINAL,HEALTHY,-3.03,-36.99
DIG_LOT09_COMP0004,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.4816,1132.469,1132.5714,1132.6612,1130.9874,23.696,2.3335,11.987,0.0147,-0.0527,36.06,35.78,1.4816,1132.469,1132.5714,1132.6612,1130.9874,50.0,False,NOMINAL,HEALTHY,12.42,37.64
DIG_LOT09_COMP0005,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.7264,1341.5938,1341.6818,1341.7511,1339.8674,24.499,1.8036,11.736,-0.0264,0.0232,35.53,35.28,1.7264,1341.5938,1341.6818,1341.7511,1339.8674,50.0,False,NOMINAL,HEALTHY,24.01,-41.86
DIG_LOT09_COMP0006,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.4483,1123.1139,1123.1983,1123.2476,1121.6656,26.098,1.6229,12.737,0.0368,0.0612,34.12,34.36,1.4483,1123.1139,1123.1983,1123.2476,1121.6656,50.0,False,NOMINAL,HEALTHY,-43.53,-27.01
DIG_LOT09_COMP0007,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3382,1015.6478,1015.7588,1015.8355,1014.3096,24.001,2.3161,12.136,-0.002,0.0132,34.31,34.57,1.3382,1015.6478,1015.7588,1015.8355,1014.3096,50.0,False,NOMINAL,HEALTHY,-23.8,-47.74
DIG_LOT09_COMP0008,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3665,1042.7597,1042.8623,1042.9201,1041.3932,27.025,1.7685,13.121,-0.0075,0.0196,35.73,36.38,1.3665,1042.7597,1042.8623,1042.9201,1041.3932,50.0,False,NOMINAL,HEALTHY,-25.11,-38.88
DIG_LOT09_COMP0009,LOT_09,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T09_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1881,914.3574,914.4127,914.4685,913.1693,25.382,2.1133,12.915,0.0535,-0.0556,32.96,32.47,1.1881,914.3574,914.4127,914.4685,913.1693,50.0,False,NOMINAL,HEALTHY,11.79,0.34
