component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,ICC_active_mA,input_leakage_nA,propagation_delay_ns,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
DIG_LOT06_COMP0000,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.2599,976.8446,976.9066,976.9396,975.5847,22.661,1.6098,11.904,0.0136,-0.0133,33.4,34.2,1.2599,976.8446,976.9066,976.9396,975.5847,50.0,False,NOMINAL,HEALTHY,27.35,28.92
DIG_LOT06_COMP0001,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3964,1084.8301,1084.9268,1084.9932,1083.4337,25.781,2.1951,11.733,-0.0241,-0.0731,36.04,35.49,1.3964,1084.8301,1084.9268,1084.9932,1083.4337,50.0,False,NOMINAL,HEALTHY,26.34,20.58
DIG_LOT06_COMP0002,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.3115,1021.3336,1021.3938,1021.4071,1020.0221,25.087,1.9478,10.817,-0.0066,0.0066,34.07,33.92,1.3115,1021.3336,1021.3938,1021.4071,1020.0221,50.0,False,NOMINAL,HEALTHY,21.38,-13.37
DIG_LOT06_COMP0003,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.393,1063.0108,1063.0925,1063.148,1061.6178,27.553,1.7865,12.462,0.0497,0.0437,34.84,35.11,1.393,1063.0108,1063.0925,1063.148,1061.6178,50.0,False,NOMINAL,HEALTHY,-36.62,-44.7
DIG_LOT06_COMP0004,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.16,894.8431,894.8955,894.9877,893.6831,26.978,1.7518,12.501,-0.0025,-0.0922,36.33,35.94,1.16,894.8431,894.8955,894.9877,893.6831,50.0,False,NOMINAL,HEALTHY,22.85,15.09
DIG_LOT06_COMP0005,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.258,992.7946,992.8438,992.9544,991.5366,23.702,2.5418,12.229,0.007,0.0166,37.93,36.72,1.258,992.7946,992.8438,992.9544,991.5366,50.0,False,NOMINAL,HEALTHY,9.93,49.52
DIG_LOT06_COMP0006,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1356,874.4605,874.4902,874.5125,873.3249,21.197,1.4323,14.042,-0.002,-0.0711,35.06,35.07,1.1356,874.4605,874.4902,874.5125,873.3249,50.0,False,NOMINAL,HEALTHY,13.38,-33.41
DIG_LOT06_COMP0007,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.5503,1193.577,1193.7314,1193.7342,1192.0267,23.723,1.8603,12.203,0.0257,0.0252,35.01,34.76,1.5503,1193.577,1193.7314,1193.7342,1192.0267,50.0,False,NOMINAL,HEALTHY,14.11,38.11
DIG_LOT06_COMP0008,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.1232,889.0244,889.1094,889.1758,887.9012,25.367,1.7688,13.277,0.0032,-0.0213,36.04,35.85,1.1232,889.0244,889.1094,889.1758,887.9012,50.0,False,NOMINAL,HEALTHY,-34.47,35.55
DIG_LOT06_COMP0009,LOT_06,DIGITAL_IC,CQFP-64,DIG-SIH-2026,THERMAL_BURN_IN,T06_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,IDDQ,ELECTRICAL,uA,1.2462,967.3575,967.4667,967.4363,966.1113,23.09,2.3723,12.263,0.0499,0.0596,34.12,34.81,1.2462,967.3575,967.4667,967.4363,966.1113,50.0,False,NOMINAL,HEALTHY,-30.61,41.9
