component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT05_COMP0000,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05144,0.09502,0.11731,0.12043,0.04358,166.1,0.00416,5.047,0.0083,-0.0064,-0.066,27.57,28.22,0.05144,0.09502,0.11731,0.12043,0.04358,0.5,False,NOMINAL,HEALTHY,11.99,36.42
MEM_LOT05_COMP0001,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05388,0.08474,0.10232,0.10731,0.03086,171.0,0.00314,5.267,0.00613,0.0107,0.0389,26.77,28.18,0.05388,0.08474,0.10232,0.10731,0.03086,0.5,False,NOMINAL,HEALTHY,-12.86,41.02
MEM_LOT05_COMP0002,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04933,0.08429,0.10578,0.1109,0.03496,156.79,0.00495,5.789,0.00605,0.0337,0.0496,26.33,27.87,0.04933,0.08429,0.10578,0.1109,0.03496,0.5,False,NOMINAL,HEALTHY,9.72,-4.17
MEM_LOT05_COMP0003,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04977,0.10088,0.12833,0.1348,0.05111,189.37,0.00587,5.255,0.00849,-0.0124,-0.0461,28.45,27.85,0.04977,0.10088,0.12833,0.1348,0.05111,0.5,False,NOMINAL,HEALTHY,37.01,-10.74
MEM_LOT05_COMP0004,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.054,0.09034,0.11162,0.1174,0.03634,156.74,0.00417,5.674,0.00067,0.0281,0.0095,27.97,27.61,0.054,0.09034,0.11162,0.1174,0.03634,0.5,False,NOMINAL,HEALTHY,9.56,16.7
MEM_LOT05_COMP0005,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04979,0.08814,0.11023,0.11574,0.03835,174.57,0.00431,5.348,0.00604,0.0021,0.0038,29.66,28.39,0.04979,0.08814,0.11023,0.11574,0.03835,0.5,False,NOMINAL,HEALTHY,35.44,-17.33
MEM_LOT05_COMP0006,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04948,0.0802,0.09726,0.09941,0.03072,160.32,0.00561,5.543,0.00423,0.0085,0.0071,28.72,27.9,0.04948,0.0802,0.09726,0.09941,0.03072,0.5,False,NOMINAL,HEALTHY,11.05,16.5
MEM_LOT05_COMP0007,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05401,0.08999,0.10839,0.11304,0.03598,143.1,0.00445,5.482,0.00746,0.0226,0.0639,27.12,28.13,0.05401,0.08999,0.10839,0.11304,0.03598,0.5,False,NOMINAL,HEALTHY,-28.13,45.95
MEM_LOT05_COMP0008,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05385,0.09003,0.11009,0.11561,0.03618,114.32,0.00341,5.826,0.00902,-0.0271,-0.0481,29.01,27.79,0.05385,0.09003,0.11009,0.11561,0.03618,0.5,False,NOMINAL,HEALTHY,-0.66,-40.44
MEM_LOT05_COMP0009,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05236,0.08168,0.09769,0.09949,0.02932,180.63,0.00302,5.223,0.00728,0.0256,0.0697,30.06,27.52,0.05236,0.08168,0.09769,0.09949,0.02932,0.5,False,NOMINAL,HEALTHY,46.89,45.43
MEM_LOT05_COMP0010,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05044,0.08077,0.09892,0.10328,0.03033,163.05,0.00393,5.473,0.00877,-0.0076,-0.1266,28.21,28.17,0.05044,0.08077,0.09892,0.10328,0.03033,0.5,False,NOMINAL,HEALTHY,5.23,-27.58
MEM_LOT05_COMP0011,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05222,0.09416,0.11819,0.12289,0.04194,130.61,0.0052,5.348,0.01165,0.0218,0.0471,26.76,27.88,0.05222,0.09416,0.11819,0.12289,0.04194,0.5,False,NOMINAL,HEALTHY,3.85,9.82
MEM_LOT05_COMP0012,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05069,0.07477,0.0864,0.08994,0.02408,112.44,0.00484,5.341,0.00658,-0.0039,-0.053,25.98,28.28,0.05069,0.07477,0.0864,0.08994,0.02408,0.5,False,NOMINAL,HEALTHY,33.18,25.99
MEM_LOT05_COMP0013,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05278,0.0838,0.09976,0.10299,0.03102,153.58,0.00311,5.375,0.00987,0.0216,0.093,29.89,27.8,0.05278,0.0838,0.09976,0.10299,0.03102,0.5,False,NOMINAL,HEALTHY,3.03,25.02
MEM_LOT05_COMP0014,LOT_05,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T05_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05405,0.091,0.11095,0.11372,0.03695,154.24,0.00425,5.295,0.01005,0.027,-0.0483,29.18,28.11,0.05405,0.091,0.11095,0.11372,0.03695,0.5,False,NOMINAL,HEALTHY,15.3,8.25
