component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT04_COMP0000,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05701,0.09459,0.11402,0.11923,0.03758,158.09,0.00329,5.619,0.00962,-0.0101,0.0841,26.77,28.17,0.05701,0.09459,0.11402,0.11923,0.03758,0.5,False,NOMINAL,HEALTHY,-20.38,-40.74
MEM_LOT04_COMP0001,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05392,0.07917,0.09219,0.09727,0.02525,162.88,0.00526,5.632,0.00787,0.0289,0.0469,28.78,28.26,0.05392,0.07917,0.09219,0.09727,0.02525,0.5,False,NOMINAL,HEALTHY,-31.04,-31.87
MEM_LOT04_COMP0002,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05421,0.08544,0.10291,0.1059,0.03123,108.55,0.00364,5.348,0.00878,0.0047,0.0801,26.53,28.06,0.05421,0.08544,0.10291,0.1059,0.03123,0.5,False,NOMINAL,HEALTHY,-23.44,29.85
MEM_LOT04_COMP0003,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05257,0.08405,0.09834,0.10281,0.03148,138.94,0.0058,5.512,0.00444,-0.0135,0.033,27.77,28.29,0.05257,0.08405,0.09834,0.10281,0.03148,0.5,False,NOMINAL,HEALTHY,-15.5,-36.75
MEM_LOT04_COMP0004,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05053,0.08982,0.11186,0.11566,0.03929,136.67,0.00543,5.578,0.01127,-0.0351,-0.042,27.8,28.27,0.05053,0.08982,0.11186,0.11566,0.03929,0.5,False,NOMINAL,HEALTHY,-15.54,-22.04
MEM_LOT04_COMP0005,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05467,0.08262,0.09943,0.10388,0.02795,137.23,0.00537,5.393,0.00899,-0.0029,0.1393,27.7,27.67,0.05467,0.08262,0.09943,0.10388,0.02795,0.5,False,NOMINAL,HEALTHY,-18.11,49.32
MEM_LOT04_COMP0006,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0489,0.08921,0.11397,0.11843,0.04031,179.75,0.00499,5.643,0.00792,0.0035,-0.0144,28.75,28.63,0.0489,0.08921,0.11397,0.11843,0.04031,0.5,False,NOMINAL,HEALTHY,24.18,-4.3
MEM_LOT04_COMP0007,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05329,0.09622,0.11961,0.12551,0.04293,144.01,0.00337,5.562,0.00685,0.0238,0.0912,28.23,28.2,0.05329,0.09622,0.11961,0.12551,0.04293,0.5,False,NOMINAL,HEALTHY,5.48,30.03
MEM_LOT04_COMP0008,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05377,0.08887,0.11073,0.11308,0.0351,163.27,0.0051,5.543,0.0092,0.0084,-0.0059,29.36,28.3,0.05377,0.08887,0.11073,0.11308,0.0351,0.5,False,NOMINAL,HEALTHY,-27.13,31.55
MEM_LOT04_COMP0009,LOT_04,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T04_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05505,0.09043,0.11017,0.11483,0.03538,189.56,0.00501,6.003,0.01148,-0.0191,0.0455,27.56,27.97,0.05505,0.09043,0.11017,0.11483,0.03538,0.5,False,NOMINAL,HEALTHY,20.67,3.71
