component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
PRE_LOT03_COMP0000,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.524,5785.8318,5786.4613,5786.9168,5772.3078,-0.0236,-0.0837,35.62,35.11,13.524,5785.8318,5786.4613,5786.9168,5772.3078,100.0,False,NOMINAL,HEALTHY,3.03,36.29
PRE_LOT03_COMP0001,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,14.8493,6358.0102,6358.6728,6359.2114,6343.1609,-0.003,-0.0025,35.84,35.41,14.8493,6358.0102,6358.6728,6359.2114,6343.1609,100.0,False,NOMINAL,HEALTHY,22.87,41.06
PRE_LOT03_COMP0002,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,15.7514,6748.2801,6749.0615,6749.6931,6732.5287,0.0029,0.0504,35.76,35.78,15.7514,6748.2801,6749.0615,6749.6931,6732.5287,100.0,False,NOMINAL,HEALTHY,30.5,43.11
PRE_LOT03_COMP0003,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.8714,5949.3847,5949.9873,5950.4419,5935.5133,-0.0006,-0.0197,35.12,35.39,13.8714,5949.3847,5949.9873,5950.4419,5935.5133,100.0,False,NOMINAL,HEALTHY,45.31,-32.01
PRE_LOT03_COMP0004,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,12.2881,5275.1555,5275.867,5276.3244,5262.8674,-0.0127,0.0507,33.83,33.64,12.2881,5275.1555,5275.867,5276.3244,5262.8674,100.0,False,NOMINAL,HEALTHY,11.63,-7.16
PRE_LOT03_COMP0005,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,11.2308,4824.1336,4824.6928,4825.1357,4812.9028,0.0114,-0.0276,32.39,31.98,11.2308,4824.1336,4824.6928,4825.1357,4812.9028,100.0,False,NOMINAL,HEALTHY,-42.18,-38.95
PRE_LOT03_COMP0006,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.8042,5907.656,5908.2939,5908.7523,5893.8518,-0.0182,-0.127,35.32,35.11,13.8042,5907.656,5908.2939,5908.7523,5893.8518,100.0,False,NOMINAL,HEALTHY,-18.18,20.68
PRE_LOT03_COMP0007,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,12.7401,5456.5456,5457.1486,5457.6324,5443.8055,-0.0321,-0.0047,33.33,34.08,12.7401,5456.5456,5457.1486,5457.6324,5443.8055,100.0,False,NOMINAL,HEALTHY,15.71,13.37
PRE_LOT03_COMP0008,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.1774,5652.278,5652.9872,5653.5236,5639.1006,-0.0262,-0.0831,35.76,35.51,13.1774,5652.278,5652.9872,5653.5236,5639.1006,100.0,False,NOMINAL,HEALTHY,-10.73,-48.95
PRE_LOT03_COMP0009,LOT_03,PRECISION_VOLTAGE_REF,LCC-20,PRE-SIH-2026,THERMAL_BURN_IN,T03_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,5.0,168,output_voltage_drift,ELECTRICAL,uV,13.0484,5595.9764,5596.623,5597.0162,5582.928,0.0265,-0.0363,37.14,36.62,13.0484,5595.9764,5596.623,5597.0162,5582.928,100.0,False,NOMINAL,HEALTHY,2.77,-21.13
