component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT02_COMP0000,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05066,0.09122,0.1125,0.11754,0.04056,159.92,0.00376,5.335,0.01342,-0.0229,-0.0465,28.65,27.88,0.05066,0.09122,0.1125,0.11754,0.04056,0.5,False,NOMINAL,HEALTHY,34.09,-43.25
MEM_LOT02_COMP0001,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05098,0.09061,0.10904,0.11556,0.03963,146.69,0.00351,5.296,0.00788,0.0161,-0.0109,27.48,27.62,0.05098,0.09061,0.10904,0.11556,0.03963,0.5,False,NOMINAL,HEALTHY,8.8,-35.19
MEM_LOT02_COMP0002,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05322,0.08242,0.09803,0.10352,0.0292,161.16,0.00338,5.662,0.01006,-0.0051,0.0342,28.15,28.18,0.05322,0.08242,0.09803,0.10352,0.0292,0.5,False,NOMINAL,HEALTHY,-4.71,42.79
MEM_LOT02_COMP0003,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05228,0.09855,0.12303,0.13058,0.04627,173.21,0.00344,5.358,0.00815,-0.0099,0.0417,29.22,27.98,0.05228,0.09855,0.12303,0.13058,0.04627,0.5,False,NOMINAL,HEALTHY,35.34,-0.5
MEM_LOT02_COMP0004,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05123,0.09086,0.11034,0.11569,0.03963,129.54,0.00537,5.3,0.00542,0.0087,0.041,28.68,28.55,0.05123,0.09086,0.11034,0.11569,0.03963,0.5,False,NOMINAL,HEALTHY,36.52,-18.55
MEM_LOT02_COMP0005,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05235,0.08138,0.09908,0.10259,0.02903,129.64,0.00453,5.438,0.00741,0.0008,-0.0251,27.07,27.76,0.05235,0.08138,0.09908,0.10259,0.02903,0.5,False,NOMINAL,HEALTHY,-13.9,-15.96
MEM_LOT02_COMP0006,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05009,0.08994,0.11007,0.11648,0.03985,163.99,0.00559,5.58,0.00712,0.0115,-0.0568,26.44,27.93,0.05009,0.08994,0.11007,0.11648,0.03985,0.5,False,NOMINAL,HEALTHY,45.72,-1.55
MEM_LOT02_COMP0007,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0513,0.07166,0.08695,0.08749,0.02036,81.2,0.00338,5.746,0.00757,0.0117,0.0664,27.74,28.4,0.0513,0.07166,0.08695,0.08749,0.02036,0.5,False,NOMINAL,HEALTHY,-20.56,9.75
MEM_LOT02_COMP0008,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05209,0.08197,0.09575,0.10022,0.02988,154.25,0.00541,5.572,0.0068,-0.0067,-0.0064,28.35,28.06,0.05209,0.08197,0.09575,0.10022,0.02988,0.5,False,NOMINAL,HEALTHY,4.07,-3.95
MEM_LOT02_COMP0009,LOT_02,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T02_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05211,0.08835,0.10946,0.11502,0.03624,115.08,0.00506,5.461,0.00943,-0.0024,-0.0461,27.41,28.0,0.05211,0.08835,0.10946,0.11502,0.03624,0.5,False,NOMINAL,HEALTHY,-11.96,-47.07
