component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,DSNU_DN,hot_pixel_count,supply_current_mA,dark_signal_mean_DN,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
IMA_LOT05_COMP0000,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.2563,18.7764,61.8921,208.8664,5.5201,9.4,2,40.01,9.84,0.0015,-0.0381,61.11,60.98,13.2563,18.7764,61.8921,208.8664,5.5201,10.0,False,NOMINAL,HEALTHY,-4.52,-15.31
IMA_LOT05_COMP0001,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.5109,17.0508,74.2865,368.892,4.5399,17.46,6,42.17,5.58,-0.032,-0.0271,62.51,62.23,12.5109,17.0508,74.2865,368.892,4.5399,10.0,True,DARK_CURRENT_SPIKE_GROWTH,HEALTHY,39.33,-14.16
IMA_LOT05_COMP0002,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,11.9568,15.2544,35.6341,85.6429,3.2976,11.31,3,41.69,8.0,0.0133,-0.032,63.2,62.51,11.9568,15.2544,35.6341,85.6429,3.2976,10.0,False,NOMINAL,HEALTHY,-11.63,-43.42
IMA_LOT05_COMP0003,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.716,15.9493,33.1076,62.3242,3.2333,15.82,9,45.96,9.38,-0.0163,-0.0802,61.76,62.28,12.716,15.9493,33.1076,62.3242,3.2333,10.0,False,NOMINAL,HEALTHY,16.5,-44.8
IMA_LOT05_COMP0004,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.5581,20.3257,67.8992,223.3083,6.7676,11.85,3,39.51,9.23,0.0164,0.0826,62.82,62.4,13.5581,20.3257,67.8992,223.3083,6.7676,10.0,False,NOMINAL,HEALTHY,-34.52,43.29
IMA_LOT05_COMP0005,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.5,17.0232,38.5355,86.6811,4.5232,12.14,6,41.16,6.41,-0.0315,0.0169,61.14,61.77,12.5,17.0232,38.5355,86.6811,4.5232,10.0,False,NOMINAL,HEALTHY,4.22,43.09
IMA_LOT05_COMP0006,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.2988,19.976,66.7726,234.6436,6.6772,8.99,5,39.93,7.46,0.0089,-0.0811,63.88,62.61,13.2988,19.976,66.7726,234.6436,6.6772,10.0,False,NOMINAL,HEALTHY,-2.91,15.69
IMA_LOT05_COMP0007,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.3641,17.4791,70.2755,326.4012,5.115,10.91,6,36.67,9.57,-0.0179,0.0131,62.5,62.41,12.3641,17.4791,70.2755,326.4012,5.115,10.0,True,DARK_CURRENT_SPIKE_GROWTH,HEALTHY,-33.79,-10.76
IMA_LOT05_COMP0008,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.2093,19.121,68.5586,229.4452,5.9117,14.68,5,42.68,6.71,-0.0236,-0.1153,63.08,61.59,13.2093,19.121,68.5586,229.4452,5.9117,10.0,False,NOMINAL,HEALTHY,21.18,48.44
IMA_LOT05_COMP0009,LOT_05,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T05_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.8675,16.5268,36.0827,85.3596,3.6593,8.95,4,45.82,9.15,0.0325,-0.0383,64.45,62.35,12.8675,16.5268,36.0827,85.3596,3.6593,10.0,False,NOMINAL,HEALTHY,-8.71,-8.3
