component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT01_COMP0000,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05454,0.08895,0.10988,0.11509,0.03441,110.71,0.00322,5.715,0.00665,-0.0268,0.0002,27.75,28.37,0.05454,0.08895,0.10988,0.11509,0.03441,0.5,False,NOMINAL,HEALTHY,5.14,-2.72
MEM_LOT01_COMP0001,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05577,0.09332,0.11287,0.11587,0.03755,128.06,0.00343,5.248,0.00565,-0.0011,0.021,26.9,27.9,0.05577,0.09332,0.11287,0.11587,0.03755,0.5,False,NOMINAL,HEALTHY,43.57,-1.65
MEM_LOT01_COMP0002,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05242,0.08633,0.10562,0.11022,0.03391,143.62,0.00401,5.253,0.01012,-0.0213,0.0386,28.33,28.42,0.05242,0.08633,0.10562,0.11022,0.03391,0.5,False,NOMINAL,HEALTHY,-15.05,-32.11
MEM_LOT01_COMP0003,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05053,0.08196,0.10005,0.1039,0.03143,115.12,0.00371,5.527,0.00886,0.0201,0.0475,27.51,28.06,0.05053,0.08196,0.10005,0.1039,0.03143,0.5,False,NOMINAL,HEALTHY,17.86,29.06
MEM_LOT01_COMP0004,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0527,0.08805,0.10607,0.11124,0.03535,168.28,0.00485,5.672,0.00723,0.0177,0.0561,29.07,27.69,0.0527,0.08805,0.10607,0.11124,0.03535,0.5,False,NOMINAL,HEALTHY,40.22,9.42
MEM_LOT01_COMP0005,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05335,0.09225,0.11459,0.1197,0.0389,117.16,0.00446,5.654,0.00759,-0.005,0.0065,28.09,28.62,0.05335,0.09225,0.11459,0.1197,0.0389,0.5,False,NOMINAL,HEALTHY,42.01,41.0
MEM_LOT01_COMP0006,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05526,0.09214,0.11254,0.11795,0.03688,135.02,0.00501,5.272,0.00722,-0.0165,-0.099,29.73,27.59,0.05526,0.09214,0.11254,0.11795,0.03688,0.5,False,NOMINAL,HEALTHY,-19.25,-11.52
MEM_LOT01_COMP0007,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05154,0.08652,0.10643,0.1109,0.03498,159.52,0.00531,5.474,0.00717,-0.0159,-0.0479,27.41,28.41,0.05154,0.08652,0.10643,0.1109,0.03498,0.5,False,NOMINAL,HEALTHY,-10.12,28.6
MEM_LOT01_COMP0008,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05347,0.08466,0.10206,0.10619,0.03119,145.14,0.00557,5.566,0.00586,-0.0182,-0.0551,27.83,27.83,0.05347,0.08466,0.10206,0.10619,0.03119,0.5,False,NOMINAL,HEALTHY,-28.12,-19.55
MEM_LOT01_COMP0009,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05322,0.0837,0.10053,0.10642,0.03048,149.73,0.00367,5.098,0.00704,-0.0103,-0.0348,28.63,27.63,0.05322,0.0837,0.10053,0.10642,0.03048,0.5,False,NOMINAL,HEALTHY,13.3,-12.75
MEM_LOT01_COMP0010,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05056,0.08534,0.10725,0.11119,0.03478,150.41,0.00576,5.401,0.00473,0.0206,0.0907,27.74,27.72,0.05056,0.08534,0.10725,0.11119,0.03478,0.5,False,NOMINAL,HEALTHY,-32.13,-16.47
MEM_LOT01_COMP0011,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.054,0.09514,0.11527,0.12256,0.04114,145.09,0.00497,5.593,0.0086,0.0233,0.0117,28.22,27.71,0.054,0.09514,0.11527,0.12256,0.04114,0.5,False,NOMINAL,HEALTHY,34.53,29.72
MEM_LOT01_COMP0012,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05395,0.08726,0.10581,0.10982,0.03331,184.54,0.00456,5.411,0.00832,-0.0099,0.1,29.71,28.07,0.05395,0.08726,0.10581,0.10982,0.03331,0.5,False,NOMINAL,HEALTHY,1.68,45.93
MEM_LOT01_COMP0013,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05496,0.08674,0.1047,0.10608,0.03178,190.71,0.00509,5.03,0.01065,-0.0016,-0.0537,27.5,27.81,0.05496,0.08674,0.1047,0.10608,0.03178,0.5,False,NOMINAL,HEALTHY,-38.95,-30.16
MEM_LOT01_COMP0014,LOT_01,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T01_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.05547,0.09145,0.1132,0.11791,0.03598,118.04,0.00346,5.302,0.00721,-0.0149,-0.0464,26.43,27.93,0.05547,0.09145,0.1132,0.11791,0.03598,0.5,False,NOMINAL,HEALTHY,-46.13,-9.51
