component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MEM_LOT03_COMP0000,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0439,0.07432,0.09057,0.09423,0.03042,172.99,0.00539,5.416,0.00843,0.0027,0.0287,29.37,28.56,0.0439,0.07432,0.09057,0.09423,0.03042,0.5,False,NOMINAL,HEALTHY,-22.12,-5.28
MEM_LOT03_COMP0001,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04917,0.08153,0.09967,0.10345,0.03236,147.85,0.00564,5.767,0.01003,-0.0178,-0.111,27.01,28.02,0.04917,0.08153,0.09967,0.10345,0.03236,0.5,False,NOMINAL,HEALTHY,-3.15,-20.84
MEM_LOT03_COMP0002,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04892,0.09221,0.11352,0.11855,0.04329,174.73,0.00431,5.599,0.00922,0.0085,-0.0181,28.81,28.05,0.04892,0.09221,0.11352,0.11855,0.04329,0.5,False,NOMINAL,HEALTHY,29.74,-30.24
MEM_LOT03_COMP0003,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04516,0.07998,0.09797,0.10355,0.03482,135.01,0.00531,5.436,0.00581,0.0216,-0.0169,28.4,28.4,0.04516,0.07998,0.09797,0.10355,0.03482,0.5,False,NOMINAL,HEALTHY,3.62,3.67
MEM_LOT03_COMP0004,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04225,0.07376,0.08954,0.09353,0.03151,113.29,0.00512,5.317,0.0062,-0.0431,-0.0219,26.3,27.93,0.04225,0.07376,0.08954,0.09353,0.03151,0.5,False,NOMINAL,HEALTHY,-12.75,46.24
MEM_LOT03_COMP0005,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04682,0.08138,0.10422,0.10791,0.03456,142.97,0.00551,5.502,0.00798,-0.0074,-0.06,27.26,27.93,0.04682,0.08138,0.10422,0.10791,0.03456,0.5,False,NOMINAL,HEALTHY,-27.36,-24.04
MEM_LOT03_COMP0006,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0461,0.07796,0.09685,0.1019,0.03186,156.26,0.00534,5.642,0.00852,0.0255,0.0452,26.83,27.7,0.0461,0.07796,0.09685,0.1019,0.03186,0.5,False,NOMINAL,HEALTHY,-32.8,10.7
MEM_LOT03_COMP0007,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04374,0.08109,0.10148,0.10561,0.03735,136.31,0.00503,5.729,0.01136,0.0032,0.017,28.83,27.84,0.04374,0.08109,0.10148,0.10561,0.03735,0.5,False,NOMINAL,HEALTHY,20.27,40.32
MEM_LOT03_COMP0008,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.04569,0.08639,0.10911,0.11522,0.0407,137.98,0.00347,5.546,0.01263,-0.0304,-0.0462,28.34,27.75,0.04569,0.08639,0.10911,0.11522,0.0407,0.5,False,NOMINAL,HEALTHY,6.97,-47.37
MEM_LOT03_COMP0009,LOT_03,MEMS_GYROSCOPE,LCC-20,MEM-SIH-2026,MEMS_THERMAL_STRESS,T03_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,85.0,3.3,168,zero_rate_offset,MECHANICAL,dps,0.0468,0.07831,0.26518,0.34053,0.03151,135.13,0.00469,5.276,0.00782,0.02,-0.0303,28.87,27.82,0.0468,0.07831,0.26518,0.34053,0.03151,0.5,True,MEMS_STICTION_ONSET,HEALTHY,32.17,43.78
