component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MIX_LOT04_COMP0000,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.1542,1648.2985,1648.4063,1648.4694,1646.1443,-0.0069,0.0241,35.56,35.65,2.1542,1648.2985,1648.4063,1648.4694,1646.1443,75.0,False,NOMINAL,HEALTHY,24.42,-31.77
MIX_LOT04_COMP0001,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.8477,1416.2135,1416.3219,1416.3515,1414.3658,-0.0093,0.005,33.53,33.19,1.8477,1416.2135,1416.3219,1416.3515,1414.3658,75.0,False,NOMINAL,HEALTHY,10.56,44.13
MIX_LOT04_COMP0002,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0432,1580.9283,1581.0411,1581.1134,1578.8851,-0.04,-0.0372,34.02,34.94,2.0432,1580.9283,1581.0411,1581.1134,1578.8851,75.0,False,NOMINAL,HEALTHY,44.88,-17.75
MIX_LOT04_COMP0003,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.3085,1781.9889,1782.1735,1782.2621,1779.6804,0.0014,0.0885,34.62,34.51,2.3085,1781.9889,1782.1735,1782.2621,1779.6804,75.0,False,NOMINAL,HEALTHY,-23.31,-32.77
MIX_LOT04_COMP0004,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.7267,1346.7277,1346.8303,1346.9127,1345.001,-0.055,-0.0728,33.34,33.61,1.7267,1346.7277,1346.8303,1346.9127,1345.001,75.0,False,NOMINAL,HEALTHY,-7.34,-10.13
MIX_LOT04_COMP0005,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.153,1649.896,1649.973,1650.1206,1647.743,-0.0277,0.0109,35.27,35.25,2.153,1649.896,1649.973,1650.1206,1647.743,75.0,False,NOMINAL,HEALTHY,35.99,-23.58
MIX_LOT04_COMP0006,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,9.5196,7336.3661,7336.7855,7337.0175,7326.8465,0.0003,-0.0848,35.06,35.41,9.5196,7336.3661,7336.7855,7337.0175,7326.8465,75.0,True,SPATIAL_OUTLIER,HEALTHY,-26.34,35.82
MIX_LOT04_COMP0007,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0335,1576.2282,1576.3561,1576.447,1574.1947,0.014,0.0123,34.29,34.38,2.0335,1576.2282,1576.3561,1576.447,1574.1947,75.0,False,NOMINAL,HEALTHY,-22.93,-2.94
MIX_LOT04_COMP0008,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.5287,1188.2347,1188.3208,1188.3076,1186.706,0.0038,0.0133,35.92,36.28,1.5287,1188.2347,1188.3208,1188.3076,1186.706,75.0,False,NOMINAL,HEALTHY,9.43,6.84
MIX_LOT04_COMP0009,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.3224,1804.2858,1804.4133,1804.4546,1801.9634,0.0185,0.1046,35.62,36.26,2.3224,1804.2858,1804.4133,1804.4546,1801.9634,75.0,False,NOMINAL,HEALTHY,-34.65,-10.94
MIX_LOT04_COMP0010,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.8421,1436.7836,1436.8636,1437.0049,1434.9415,-0.0037,-0.0471,34.45,33.42,1.8421,1436.7836,1436.8636,1437.0049,1434.9415,75.0,False,NOMINAL,HEALTHY,-13.84,1.09
MIX_LOT04_COMP0011,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9091,1492.4392,1492.5906,1492.6443,1490.5301,-0.0209,0.0419,35.56,36.0,1.9091,1492.4392,1492.5906,1492.6443,1490.5301,75.0,False,NOMINAL,HEALTHY,-19.0,45.71
MIX_LOT04_COMP0012,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9439,1493.2855,1493.3913,1493.3915,1491.3416,0.0135,-0.0251,34.85,34.97,1.9439,1493.2855,1493.3913,1493.3915,1491.3416,75.0,False,NOMINAL,HEALTHY,-36.51,-27.26
MIX_LOT04_COMP0013,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0773,1587.3373,1587.4765,1587.5645,1585.26,-0.0171,-0.0455,34.05,34.19,2.0773,1587.3373,1587.4765,1587.5645,1585.26,75.0,False,NOMINAL,HEALTHY,-7.3,4.42
MIX_LOT04_COMP0014,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9173,1479.965,1480.0967,1480.1366,1478.0477,-0.0236,0.0535,35.89,36.39,1.9173,1479.965,1480.0967,1480.1366,1478.0477,75.0,True,DIELECTRIC_OSCILLATION,HEALTHY,19.87,29.64
MIX_LOT04_COMP0015,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0015,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.2987,1757.4643,1757.6088,1757.6814,1755.1656,-0.0091,0.0195,33.07,33.87,2.2987,1757.4643,1757.6088,1757.6814,1755.1656,75.0,False,NOMINAL,HEALTHY,5.48,-48.82
MIX_LOT04_COMP0016,LOT_04,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T04_0016,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9074,1445.2782,1445.4326,1445.4817,1443.3708,0.01,0.0109,33.11,33.28,1.9074,1445.2782,1445.4326,1445.4817,1443.3708,75.0,False,NOMINAL,HEALTHY,44.51,-48.42
