component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,DSNU_DN,hot_pixel_count,supply_current_mA,dark_signal_mean_DN,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
IMA_LOT02_COMP0000,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.3153,18.7625,49.3214,137.8765,5.4472,16.61,5,40.97,7.04,-0.0204,-0.033,61.7,61.47,13.3153,18.7625,49.3214,137.8765,5.4472,10.0,False,NOMINAL,HEALTHY,26.76,24.21
IMA_LOT02_COMP0001,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.2686,14.9969,28.7517,57.5621,2.7283,9.74,2,46.53,8.1,0.005,-0.0641,60.81,61.27,12.2686,14.9969,28.7517,57.5621,2.7283,10.0,False,NOMINAL,HEALTHY,-17.03,31.91
IMA_LOT02_COMP0002,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.6776,19.3538,70.8387,254.8031,6.6762,11.03,4,43.5,6.87,0.0131,-0.079,62.33,61.05,12.6776,19.3538,70.8387,254.8031,6.6762,10.0,False,NOMINAL,HEALTHY,39.14,30.66
IMA_LOT02_COMP0003,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.8929,16.6532,35.6126,70.8327,3.7603,13.68,3,41.55,8.73,0.0402,0.0402,63.63,62.97,12.8929,16.6532,35.6126,70.8327,3.7603,10.0,False,NOMINAL,HEALTHY,-8.54,21.27
IMA_LOT02_COMP0004,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.1328,15.801,35.8571,85.4726,3.6682,14.24,7,40.16,7.86,0.0126,0.0433,62.96,62.72,12.1328,15.801,35.8571,85.4726,3.6682,10.0,False,NOMINAL,HEALTHY,-11.27,41.25
IMA_LOT02_COMP0005,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.007,18.1209,44.8196,111.5723,5.1139,19.11,4,42.74,10.34,-0.0051,-0.0338,60.88,61.95,13.007,18.1209,44.8196,111.5723,5.1139,10.0,False,NOMINAL,HEALTHY,28.69,7.27
IMA_LOT02_COMP0006,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.5158,19.4222,63.8102,209.0487,5.9064,14.21,5,42.9,8.35,0.0171,0.0781,58.03,62.01,13.5158,19.4222,63.8102,209.0487,5.9064,10.0,False,NOMINAL,HEALTHY,-28.42,27.9
IMA_LOT02_COMP0007,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.3359,16.4793,34.3451,72.7108,3.1434,12.05,2,41.13,5.65,-0.0085,-0.0231,63.19,62.08,13.3359,16.4793,34.3451,72.7108,3.1434,10.0,False,NOMINAL,HEALTHY,26.67,0.03
IMA_LOT02_COMP0008,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.4701,18.538,61.1156,211.1579,6.0679,8.25,8,38.42,8.82,0.0026,0.0339,62.55,61.53,12.4701,18.538,61.1156,211.1579,6.0679,10.0,False,NOMINAL,HEALTHY,3.5,-1.28
IMA_LOT02_COMP0009,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.0166,15.9243,35.7601,80.4171,3.9077,10.73,3,38.58,8.46,-0.0109,0.005,64.88,62.72,12.0166,15.9243,35.7601,80.4171,3.9077,10.0,False,NOMINAL,HEALTHY,-37.48,-35.0
IMA_LOT02_COMP0010,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.9731,17.3446,43.486,108.5138,4.3715,7.93,4,41.81,8.13,0.0037,0.0248,62.29,61.52,12.9731,17.3446,43.486,108.5138,4.3715,10.0,False,NOMINAL,HEALTHY,41.15,41.57
IMA_LOT02_COMP0011,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.2728,18.6342,54.7077,158.0837,5.3614,12.57,3,40.76,5.72,0.0071,0.0564,59.37,62.52,13.2728,18.6342,54.7077,158.0837,5.3614,10.0,False,NOMINAL,HEALTHY,39.65,42.38
IMA_LOT02_COMP0012,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.5953,19.3435,62.369,195.7617,6.7482,6.19,9,40.71,5.36,0.0114,-0.0058,60.34,62.45,12.5953,19.3435,62.369,195.7617,6.7482,10.0,False,NOMINAL,HEALTHY,-39.72,-43.84
IMA_LOT02_COMP0013,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.6716,17.6763,45.3123,116.4445,5.0047,14.68,4,41.69,6.7,0.0131,0.0457,61.02,61.36,12.6716,17.6763,45.3123,116.4445,5.0047,10.0,False,NOMINAL,HEALTHY,-29.69,3.4
IMA_LOT02_COMP0014,LOT_02,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T02_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,12.547,16.4103,40.7011,96.5453,3.8633,15.13,5,42.68,6.14,-0.0177,0.0318,59.73,61.8,12.547,16.4103,40.7011,96.5453,3.8633,10.0,False,NOMINAL,HEALTHY,30.43,-41.48
