component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,DSNU_DN,hot_pixel_count,supply_current_mA,dark_signal_mean_DN,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
IMA_LOT03_COMP0000,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.1726,18.5233,47.4638,118.5816,5.3507,12.11,2,40.27,5.21,0.0092,-0.013,59.47,62.22,13.1726,18.5233,47.4638,118.5816,5.3507,10.0,False,NOMINAL,HEALTHY,-34.71,-19.3
IMA_LOT03_COMP0001,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.2728,20.9768,68.6349,218.9395,6.704,14.58,3,40.03,3.65,0.0192,0.0528,61.02,61.93,14.2728,20.9768,68.6349,218.9395,6.704,10.0,False,NOMINAL,HEALTHY,0.2,21.52
IMA_LOT03_COMP0002,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.0759,19.4095,52.2057,142.2098,5.3336,8.68,1,38.94,6.07,-0.0096,-0.0122,62.99,62.49,14.0759,19.4095,52.2057,142.2098,5.3336,10.0,False,NOMINAL,HEALTHY,-3.33,9.86
IMA_LOT03_COMP0003,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.5965,17.7953,37.1404,78.8137,4.1988,10.43,2,41.7,8.79,-0.039,-0.0286,60.0,62.13,13.5965,17.7953,37.1404,78.8137,4.1988,10.0,False,NOMINAL,HEALTHY,-12.77,-15.47
IMA_LOT03_COMP0004,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.5436,19.7413,60.09,172.8073,6.1977,10.05,5,44.03,9.33,0.006,0.0919,63.93,62.25,13.5436,19.7413,60.09,172.8073,6.1977,10.0,False,NOMINAL,HEALTHY,-11.28,29.82
IMA_LOT03_COMP0005,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.1513,18.2666,39.6411,88.0951,4.1153,12.38,3,41.46,8.64,0.0174,0.0022,61.08,61.66,14.1513,18.2666,39.6411,88.0951,4.1153,10.0,False,NOMINAL,HEALTHY,-37.29,-0.06
IMA_LOT03_COMP0006,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.1001,17.6154,35.8845,71.4572,3.5153,15.0,5,39.11,8.39,-0.0209,-0.0484,62.36,62.42,14.1001,17.6154,35.8845,71.4572,3.5153,10.0,False,NOMINAL,HEALTHY,3.32,-16.1
IMA_LOT03_COMP0007,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.0087,18.7542,41.1017,90.4986,4.7455,6.4,6,40.56,10.41,-0.0318,-0.024,61.03,62.3,14.0087,18.7542,41.1017,90.4986,4.7455,10.0,False,NOMINAL,HEALTHY,34.46,26.78
IMA_LOT03_COMP0008,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.7666,18.607,49.7301,127.1526,4.8404,11.01,6,43.1,5.47,0.0032,-0.0301,60.39,61.53,13.7666,18.607,49.7301,127.1526,4.8404,10.0,False,NOMINAL,HEALTHY,45.06,-37.13
IMA_LOT03_COMP0009,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.9794,19.9906,55.7988,172.3734,6.0112,10.99,2,44.62,8.56,-0.0117,-0.2057,62.54,62.61,13.9794,19.9906,55.7988,172.3734,6.0112,10.0,False,NOMINAL,HEALTHY,-27.64,15.17
IMA_LOT03_COMP0010,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.4318,18.7726,43.5284,97.1808,4.3408,11.5,5,42.36,9.51,0.0058,0.0053,62.13,61.82,14.4318,18.7726,43.5284,97.1808,4.3408,10.0,False,NOMINAL,HEALTHY,-31.25,-21.09
IMA_LOT03_COMP0011,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.3076,18.411,37.0835,69.7092,4.1034,13.77,2,43.82,9.82,0.0178,0.0694,61.98,61.88,14.3076,18.411,37.0835,69.7092,4.1034,10.0,False,NOMINAL,HEALTHY,35.18,-28.34
IMA_LOT03_COMP0012,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.6328,20.6131,67.3212,201.6215,5.9803,10.84,4,45.25,5.39,0.0216,0.0599,60.14,62.01,14.6328,20.6131,67.3212,201.6215,5.9803,10.0,False,NOMINAL,HEALTHY,8.97,26.22
IMA_LOT03_COMP0013,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.6128,19.735,83.7814,428.5536,6.1222,7.33,2,40.02,9.42,0.0384,0.036,61.32,62.59,13.6128,19.735,83.7814,428.5536,6.1222,10.0,True,DARK_CURRENT_SPIKE_GROWTH,HEALTHY,25.11,-16.7
IMA_LOT03_COMP0014,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,13.3175,17.0953,44.4256,104.8018,3.7778,9.19,2,45.35,7.62,-0.0366,-0.0876,63.28,61.97,13.3175,17.0953,44.4256,104.8018,3.7778,10.0,False,NOMINAL,HEALTHY,-1.83,-42.59
IMA_LOT03_COMP0015,LOT_03,IMAGE_SENSOR,LCC-20,IMA-SIH-2026,IMAGE_SENSOR_DARK_CURRENT_TEST,T03_0015,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,60.0,3.3,168,dark_current_density,OPTICAL,nA/cm2,14.2363,22.0762,84.0205,298.0989,7.8399,8.74,9,39.89,7.83,-0.0355,-0.0435,60.11,61.56,14.2363,22.0762,84.0205,298.0989,7.8399,10.0,False,NOMINAL,HEALTHY,39.35,-33.3
