component_id,lot_id,device_family,package_type,part_number,test_type,test_id,procedure_id,station_id,chamber_id,test_identity_confidence,stress_temperature_c,stress_voltage_v,duration_hours,primary_parameter,parameter_category,unit,value_0h,value_24h,value_96h,value_168h_actual,delta_value_0_24h,v_offset_0h,v_offset_24h,snr_0h,snr_24h,iddq_0h,iddq_24h,iddq_96h_actual,iddq_168h_actual,delta_iddq,spec_max_iddq,is_defective_gt,failure_mode_gt,instrument_status,wafer_x,wafer_y
MIX_LOT01_COMP0000,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0000,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0622,1599.869,1599.9917,1600.0488,1597.8068,-0.0074,-0.0633,35.03,34.12,2.0622,1599.869,1599.9917,1600.0488,1597.8068,75.0,False,NOMINAL,HEALTHY,28.23,42.57
MIX_LOT01_COMP0001,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0001,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.2984,1763.8367,1764.012,1764.0652,1761.5383,-0.007,-0.0307,36.52,36.79,2.2984,1763.8367,1764.012,1764.0652,1761.5383,75.0,False,NOMINAL,HEALTHY,15.44,31.97
MIX_LOT01_COMP0002,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0002,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.1733,1664.652,1664.7406,1664.7901,1662.4787,-0.0081,-0.0136,36.27,35.73,2.1733,1664.652,1664.7406,1664.7901,1662.4787,75.0,False,NOMINAL,HEALTHY,27.78,-33.45
MIX_LOT01_COMP0003,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0003,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9636,1528.8978,1528.9864,1529.0665,1526.9342,-0.0307,0.0063,34.87,34.83,1.9636,1528.8978,1528.9864,1529.0665,1526.9342,75.0,False,NOMINAL,HEALTHY,-15.87,31.49
MIX_LOT01_COMP0004,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0004,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.5631,1203.7393,1203.8517,1203.9452,1202.1762,0.006,0.0591,35.52,36.42,1.5631,1203.7393,1203.8517,1203.9452,1202.1762,75.0,False,NOMINAL,HEALTHY,-29.29,-18.13
MIX_LOT01_COMP0005,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0005,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.5209,1947.2406,1947.3761,1947.4016,1944.7197,0.0273,-0.0637,33.77,33.04,2.5209,1947.2406,1947.3761,1947.4016,1944.7197,75.0,False,NOMINAL,HEALTHY,-44.06,-39.29
MIX_LOT01_COMP0006,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0006,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.6227,1238.8683,1238.972,1239.0544,1237.2456,0.0225,-0.0562,37.25,37.08,1.6227,1238.8683,1238.972,1239.0544,1237.2456,75.0,False,NOMINAL,HEALTHY,33.87,-32.78
MIX_LOT01_COMP0007,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0007,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.1637,1680.7319,1680.8355,1680.9447,1678.5682,0.0055,-0.0527,35.66,35.18,2.1637,1680.7319,1680.8355,1680.9447,1678.5682,75.0,False,NOMINAL,HEALTHY,-11.91,30.04
MIX_LOT01_COMP0008,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0008,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.1844,1676.4468,1676.5841,1676.6742,1674.2624,-0.0124,0.0704,35.65,36.05,2.1844,1676.4468,1676.5841,1676.6742,1674.2624,75.0,False,NOMINAL,HEALTHY,-35.9,33.01
MIX_LOT01_COMP0009,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0009,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0411,1579.7092,1579.8181,1579.8648,1577.6681,-0.0175,0.0451,36.01,36.43,2.0411,1579.7092,1579.8181,1579.8648,1577.6681,75.0,False,NOMINAL,HEALTHY,-45.14,-16.4
MIX_LOT01_COMP0010,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0010,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.8161,1417.1521,1417.2681,1417.3459,1415.336,-0.0236,-0.0226,35.64,35.27,1.8161,1417.1521,1417.2681,1417.3459,1415.336,75.0,False,NOMINAL,HEALTHY,-35.08,41.14
MIX_LOT01_COMP0011,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0011,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0263,1586.3567,1586.4362,1586.5186,1584.3304,0.0207,0.0567,34.41,34.02,2.0263,1586.3567,1586.4362,1586.5186,1584.3304,75.0,False,NOMINAL,HEALTHY,39.08,-28.37
MIX_LOT01_COMP0012,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0012,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0445,1574.6442,1574.8067,1574.833,1572.5997,0.0231,0.079,35.94,35.75,2.0445,1574.6442,1574.8067,1574.833,1572.5997,75.0,False,NOMINAL,HEALTHY,-39.81,48.91
MIX_LOT01_COMP0013,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0013,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.5224,1953.8549,1953.989,1954.0612,1951.3325,0.0041,0.044,35.79,35.2,2.5224,1953.8549,1953.989,1954.0612,1951.3325,75.0,False,NOMINAL,HEALTHY,13.06,27.6
MIX_LOT01_COMP0014,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0014,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.5318,1953.5231,1953.6652,1953.7566,1950.9913,-0.0091,-0.1151,34.65,34.28,2.5318,1953.5231,1953.6652,1953.7566,1950.9913,75.0,False,NOMINAL,HEALTHY,20.4,-34.74
MIX_LOT01_COMP0015,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0015,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.7731,1392.5832,1392.6086,1392.7627,1390.8101,0.013,0.0626,34.2,33.84,1.7731,1392.5832,1392.6086,1392.7627,1390.8101,75.0,False,NOMINAL,HEALTHY,-31.95,4.92
MIX_LOT01_COMP0016,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0016,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.2399,1738.994,1739.1416,1739.2137,1736.7541,0.0017,-0.0909,32.3,31.92,2.2399,1738.994,1739.1416,1739.2137,1736.7541,75.0,False,NOMINAL,HEALTHY,48.56,0.86
MIX_LOT01_COMP0017,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0017,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.1005,1618.2495,1618.3941,1618.4318,1616.149,0.0173,0.0532,33.79,32.53,2.1005,1618.2495,1618.3941,1618.4318,1616.149,75.0,False,NOMINAL,HEALTHY,-7.95,-10.04
MIX_LOT01_COMP0018,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0018,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.3494,1817.0579,1817.1606,1817.232,1814.7085,0.0165,0.0138,35.36,34.63,2.3494,1817.0579,1817.1606,1817.232,1814.7085,75.0,False,NOMINAL,HEALTHY,44.18,-22.71
MIX_LOT01_COMP0019,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0019,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.213,1692.0425,1692.142,1692.206,1689.8295,-0.0048,-0.0078,34.35,34.58,2.213,1692.0425,1692.142,1692.206,1689.8295,75.0,False,NOMINAL,HEALTHY,-48.38,-31.67
MIX_LOT01_COMP0020,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0020,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.069,1575.9161,1576.032,1576.1379,1573.8471,-0.0116,0.0145,36.73,36.91,2.069,1575.9161,1576.032,1576.1379,1573.8471,75.0,False,NOMINAL,HEALTHY,-15.63,35.28
MIX_LOT01_COMP0021,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0021,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,2.0662,1585.4307,1585.5521,1585.6304,1583.3645,0.013,-0.0092,33.53,33.62,2.0662,1585.4307,1585.5521,1585.6304,1583.3645,75.0,False,NOMINAL,HEALTHY,16.56,14.15
MIX_LOT01_COMP0022,LOT_01,MIXED_SIGNAL_IC,CQFP-64,MIX-SIH-2026,THERMAL_BURN_IN,T01_0022,PROC-ISRO-IISU-01,ATE-STATION-01,CHAMBER-01,1.0,125.0,3.3,168,IDDQ,ELECTRICAL,uA,1.9699,1526.5978,1526.7325,1526.7746,1524.6279,-0.0112,-0.0534,33.6,33.65,1.9699,1526.5978,1526.7325,1526.7746,1524.6279,75.0,False,NOMINAL,HEALTHY,-26.71,-23.0
