value_0h,value_24h,delta_value_0_24h,drift_velocity_per_hour,logarithmic_creep_rate,viscoelastic_relaxation_index,robust_z_score_0h,robust_z_score_24h,scale_factor_error_ppm,noise_density_dps_rtHz,supply_current_mA,temperature_sensitivity_dps_C,value_96h,velocity_24_96,trajectory_acceleration,growth_ratio_96h,robust_z_score_96h
-0.6731978904071408,-0.8672917458071074,-0.6971415361326424,-0.6971254027305694,-0.6971344050302402,0.3420308952007653,-0.6719163672648526,-0.8634964118573999,0.14819281605136805,1.2680426278159993,0.9990577414803706,-1.4674035606933555,-1.106818671586395,-0.811553052846168,0.26143978110685545,-0.4525081890922233,-1.1029226581999259
-0.12870615985724118,0.39148570591723797,1.9861323305463938,1.991540768272124,1.9885180301480956,0.8244198570234433,-0.12871961058713655,0.3915999464360447,-1.1288267593048622,0.3867080354332479,-0.5375640639437519,0.14931474828107844,-0.1754065853988111,-1.5870370811214,-2.1225567616803285,-1.7853537536360946,-0.17542549366644533
-1.2549414323829156,-1.5886992820158186,-1.2819107288575398,-1.28111547912444,-1.2815590653578397,0.7187086171970276,-1.2498674188010954,-1.577517765295995,-0.9527842645168179,-0.962273483519943,-0.08114174550094386,-0.9731202560387516,-1.0846466212111312,1.3417677140390112,1.4361281126554768,1.6717387244061894,-1.080922101238458
-1.182248852562369,-1.2000563605180272,-0.12667582397133906,-0.12674675082641512,-0.12670716065411813,1.127450305059718,-1.1777844368722983,-1.193329805227824,-1.0166149150519745,1.25005620756329,-0.36513785475424737,-0.23684408348033123,-1.250446474998697,-0.2921590990246188,-0.017906834322387384,-0.208189136196856,-1.2453473164241693
-0.4755342361985848,-0.4956197011361444,-0.036189595510918826,-0.03621320670946095,-0.03620002661937542,0.40707903088781977,-0.4749753630665333,-0.4941324245249792,0.6011058395938189,1.0522055847834888,0.425994163879953,-0.4324978915727787,-0.7129617709018697,-0.6708838570194978,-0.2148820118686486,-0.5499038626806062,-0.7115443290959105
-0.47424326571485104,-0.38270565236039494,0.3707821666652835,0.3711784193526999,0.37095717155865054,0.5623016830987503,-0.47368816696066246,-0.38171729794554554,1.0617435915449842,0.49462655694950347,-0.4158514456923361,-0.16990988597502032,-0.37948142729162415,0.03606902457094221,-0.3032223945257668,-0.10921205919118175,-0.37922012657267823
0.8131623022294512,0.5874178287091485,-0.6110744137734687,-0.6111140088814465,-0.6110919140063515,-0.8531073458657329,0.8160823311224449,0.5880175851847248,0.42668960341813555,-1.2860290480687089,-1.2779824916398634,-0.7671688790993332,0.9733829143865712,1.4319402754663646,0.9359305405834525,1.4313349808736902,0.9778668607347392
-0.3065218387852876,-0.03710820218625175,1.0437699002728404,1.045604358012912,1.0445796732110526,0.651915999571842,-0.30635267319738474,-0.03705993183937447,-1.3829296674862195,0.07194568101083704,-1.445337341735562,-0.6178541308182548,0.18440969638932678,0.7863047356465198,-0.5885379547291332,0.2506038486496307,0.18468888607127373
-2.014050573054153,-2.006083205414299,-0.1493001137394194,-0.14938025456728685,-0.14933552192031632,2.238554679560931,-2.0003027485241,-1.98888300871304,1.4622097748388032,0.16187778227438254,0.31442426381615407,-0.08238055077576754,-2.4737030104441358,-1.72770627694807,-0.4751280040206816,-1.3883679077880853,-2.451904177153118
-1.7961688679302046,2.9855760647729706,17.103851161125057,17.418153037409756,17.240896646738896,8.80428617542329,-1.7853409988435824,3.015443120663683,-1.0609304622388034,-0.27878951391699314,-0.34485241837901365,0.6024077775477982,1.0135651675846065,-5.529381466725256,-15.643410464037714,-5.073031472801629,1.0183942025058639
